caso,threads,repeticao,t_ms,total
05-worker-leitura-suja,2,1,265.5,39900
05-worker-leitura-suja,2,1,265.73,40000
05-worker-leitura-suja,2,1,267.03,39900
05-worker-leitura-suja,2,1,267.28,39800
05-worker-leitura-suja,2,1,285.27,39900
05-worker-leitura-suja,2,1,285.7,40000
05-worker-leitura-suja,2,1,286.69,39900
05-worker-leitura-suja,2,1,286.89,39800
05-worker-leitura-suja,2,1,303.89,39900
05-worker-leitura-suja,2,1,305.45,39800
05-worker-leitura-suja,2,1,305.63,39900
05-worker-leitura-suja,2,1,306.92,39800
05-worker-leitura-suja,2,1,323.07,39900
05-worker-leitura-suja,2,1,324.41,39800
05-worker-leitura-suja,2,1,325.35,39900
05-worker-leitura-suja,2,1,326.46,39800
05-worker-leitura-suja,2,1,341.61,39900
05-worker-leitura-suja,2,1,342.6,39800
05-worker-leitura-suja,2,1,345.34,39900
05-worker-leitura-suja,2,1,346.55,39800
05-worker-leitura-suja,2,1,360.4,39900
05-worker-leitura-suja,2,1,361.65,39800
05-worker-leitura-suja,2,1,364.58,39900
05-worker-leitura-suja,2,1,365.71,39800
05-worker-leitura-suja,2,1,378.83,39900
05-worker-leitura-suja,2,1,379.72,39800
05-worker-leitura-suja,2,1,385.52,39900
05-worker-leitura-suja,2,1,386.45,39800
05-worker-leitura-suja,2,1,396.76,39900
05-worker-leitura-suja,2,1,397.69,39800
05-worker-leitura-suja,2,1,404.79,39900
05-worker-leitura-suja,2,1,406.94,39800
05-worker-leitura-suja,2,1,415.19,39900
05-worker-leitura-suja,2,1,416.49,39800
05-worker-leitura-suja,2,1,425.51,39900
05-worker-leitura-suja,2,1,426.8,39800
05-worker-leitura-suja,2,1,433.66,39900
05-worker-leitura-suja,2,1,435.08,39800
05-worker-leitura-suja,2,1,444.03,39900
05-worker-leitura-suja,2,1,446.18,39800
05-worker-leitura-suja,2,1,451.65,39900
05-worker-leitura-suja,2,1,463.71,40000
05-worker-leitura-suja,2,1,467.3,40000
05-worker-leitura-suja,4,1,1.04,40000
05-worker-leitura-suja,4,1,80.06,39900
05-worker-leitura-suja,4,1,83.23,39800
05-worker-leitura-suja,4,1,84.42,39700
05-worker-leitura-suja,4,1,88.04,39600
05-worker-leitura-suja,4,1,98.41,39700
05-worker-leitura-suja,4,1,99.25,39600
05-worker-leitura-suja,4,1,101.27,39700
05-worker-leitura-suja,4,1,101.45,39800
05-worker-leitura-suja,4,1,102.4,39700
05-worker-leitura-suja,4,1,102.55,39600
05-worker-leitura-suja,4,1,105.21,39700
05-worker-leitura-suja,4,1,105.92,39600
05-worker-leitura-suja,4,1,116.2,39700
05-worker-leitura-suja,4,1,116.89,39600
05-worker-leitura-suja,4,1,119.26,39700
05-worker-leitura-suja,4,1,119.38,39800
05-worker-leitura-suja,4,1,120.01,39700
05-worker-leitura-suja,4,1,120.16,39600
05-worker-leitura-suja,4,1,122.16,39700
05-worker-leitura-suja,4,1,122.8,39600
05-worker-leitura-suja,4,1,135.3,39700
05-worker-leitura-suja,4,1,136.09,39600
05-worker-leitura-suja,4,1,137.28,39700
05-worker-leitura-suja,4,1,137.39,39800
05-worker-leitura-suja,4,1,138.18,39600
05-worker-leitura-suja,4,1,139.08,39700
05-worker-leitura-suja,4,1,139.8,39600
05-worker-leitura-suja,4,1,152.28,39700
05-worker-leitura-suja,4,1,153.09,39600
05-worker-leitura-suja,4,1,155.16,39700
05-worker-leitura-suja,4,1,156.05,39600
